,Unnamed: 0,first-author,first-author-affiliation,last-author,last-author-affiliation,title
0,0,Surya Ganguli,Stanford,Haim Sompolinsky,Hebrew University and Harvard University,Short-term memory in neuronal networks through dynamical compressed sensing.
1,1,Hal Daumé III,Univ of Maryland / Microsoft Research,Avishek Saha,Yahoo Labs,Co-regularization Based Semi-supervised Domain Adaptation.
2,2,Akshat Kumar,"University of Massachusetts, Amherst",Shlomo Zilberstein,Univ of Mass,MAP Estimation for Graphical Models by Likelihood Maximization.
3,3,Alan Fern,Oregon State University,Prasad Tadepalli,Oregon State University,A Computational Decision Theory for Interactive Assistants.
4,4,Deqing Sun,Brown University,Michael J Black,Max Planck Institute for Intelligent Systems,"Layered image motion with explicit occlusions, temporal consistency, and depth ordering."
5,5,J. Zico Kolter,Carnegie Mellon University / Bosch Center for AI,Andrew Y Ng,DeepLearning.AI,Energy Disaggregation via Discriminative Sparse Coding.
6,6,Ling Huang,Intel,Mayur Naik,Intel,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression.
7,7,Martin A Zinkevich,Yahoo! Inc.,Lihong Li,Amazon,Parallelized Stochastic Gradient Descent.
8,8,Abdeslam Boularias,Max Planck Institute for Intelligent Systems,Brahim Chaib-draa,Laval University,Bootstrapping Apprenticeship Learning.
9,9,Amir-massoud Farahmand,Vector Institute,Csaba Szepesvari,DeepMind / University of Alberta,Error Propagation for Approximate Policy and Value Iteration.
10,10,Paul L Ruvolo,UC San Diego,javier r movellan,university of california san diego,An Alternative to Low-level-Sychrony-Based Methods for Speech Detection.
11,11,Peter B Jones,Massachusetts Institute of Technology,Sanjoy K Mitter,Massachusetts Institute of Technology,Probabilistic Belief Revision with Structural Constraints.
12,12,Ulrike von Luxburg,University of Tübingen,Matthias Hein,University of Tübingen,Getting lost in space: Large sample analysis of the resistance distance.
13,13,HongJing Lu,UCLA,Alan L Yuille,UCLA,Functional form of motion priors in human motion perception.
14,14,Novi Quadrianto,University of Sussex and HSE,James Petterson,NICTA,Multitask Learning without Label Correspondences.
15,15,Issei Sato,University of Tokyo,Hiroshi Nakagawa,The University of Tokyo,Deterministic Single-Pass Algorithm for LDA.
16,16,Jose G Puertas,FIAS,Jörg Lücke,TU Berlin,The Maximal Causes of Natural Scenes are Edge Filters.
17,17,David Silver,DeepMind,Joel Veness,DeepMind,Monte-Carlo Planning in Large POMDPs.
18,18,Mohammad J Saberian,UC San Diego,Nuno Vasconcelos,UC San Diego,Boosting Classifier Cascades.
